T [K]	C_e [J/m^3/K]
83.1	51438.899999999994
83.2	51500.8
83.3	51562.7
83.4	51624.600000000006
83.5	51686.5
83.6	51748.399999999994
83.7	51810.3
83.8	51872.2
83.9	51934.100000000006
84.0	51996.0
84.1	52057.899999999994
84.2	52119.8
84.3	52181.7
84.4	52243.600000000006
84.5	52305.5
84.6	52367.399999999994
84.7	52429.3
84.8	52491.2
84.9	52553.100000000006
85.0	52615.0
85.1	52676.899999999994
85.2	52738.8
85.3	52800.7
85.4	52862.600000000006
85.5	52924.5
85.6	52986.399999999994
85.7	53048.3
85.8	53110.2
85.9	53172.100000000006
86.0	53234.0
86.1	53295.899999999994
86.2	53357.8
86.3	53419.7
86.4	53481.600000000006
86.5	53543.5
86.6	53605.399999999994
86.7	53667.3
86.8	53729.2
86.9	53791.100000000006
87.0	53853.0
87.1	53914.899999999994
87.2	53976.8
87.3	54038.7
87.4	54100.600000000006
87.5	54162.5
87.6	54224.399999999994
87.7	54286.3
87.8	54348.2
87.9	54410.100000000006
88.0	54472.0
88.1	54533.899999999994
88.2	54595.8
88.3	54657.7
88.4	54719.600000000006
88.5	54781.5
88.6	54843.399999999994
88.7	54905.3
88.8	54967.2
88.9	55029.100000000006
89.0	55091.0
89.1	55152.899999999994
89.2	55214.8
89.3	55276.7
89.4	55338.600000000006
89.5	55400.5
89.6	55462.399999999994
89.7	55524.3
89.8	55586.2
89.9	55648.100000000006
90.0	55710.0
90.1	55771.899999999994
90.2	55833.8
90.3	55895.7
90.4	55957.600000000006
90.5	56019.5
90.6	56081.399999999994
90.7	56143.3
90.8	56205.2
90.9	56267.100000000006
91.0	56329.0
91.1	56390.899999999994
91.2	56452.8
91.3	56514.7
91.4	56576.600000000006
91.5	56638.5
91.6	56700.399999999994
91.7	56762.3
91.8	56824.2
91.9	56886.100000000006
92.0	56948.0
92.1	57009.899999999994
92.2	57071.8
92.3	57133.7
92.4	57195.600000000006
92.5	57257.5
92.6	57319.399999999994
92.7	57381.3
92.8	57443.2
92.9	57505.100000000006
93.0	57567.0
93.1	57628.899999999994
93.2	57690.8
93.3	57752.7
93.4	57814.600000000006
93.5	57876.5
93.6	57938.399999999994
93.7	58000.3
93.8	58062.2
93.9	58124.100000000006
94.0	58186.0
94.1	58247.899999999994
94.2	58309.8
94.3	58371.7
94.4	58433.600000000006
94.5	58495.5
94.6	58557.399999999994
94.7	58619.3
94.8	58681.2
94.9	58743.100000000006
95.0	58805.0
95.1	58866.899999999994
95.2	58928.8
95.3	58990.7
95.4	59052.600000000006
95.5	59114.5
95.6	59176.399999999994
95.7	59238.3
95.8	59300.2
95.9	59362.100000000006
96.0	59424.0
96.1	59485.899999999994
96.2	59547.8
96.3	59609.7
96.4	59671.600000000006
96.5	59733.5
96.6	59795.399999999994
96.7	59857.3
96.8	59919.2
96.9	59981.100000000006
97.0	60043.0
97.1	60104.899999999994
97.2	60166.8
97.3	60228.7
97.4	60290.600000000006
97.5	60352.5
97.6	60414.399999999994
97.7	60476.3
97.8	60538.2
97.9	60600.100000000006
98.0	60662.0
98.1	60723.899999999994
98.2	60785.8
98.3	60847.7
98.4	60909.600000000006
98.5	60971.5
98.6	61033.399999999994
98.7	61095.3
98.8	61157.2
98.9	61219.100000000006
99.0	61281.0
99.1	61342.899999999994
99.2	61404.8
99.3	61466.7
99.4	61528.600000000006
99.5	61590.5
99.6	61652.399999999994
99.7	61714.3
99.8	61776.2
99.9	61838.100000000006
100.0	61900.0
100.1	61961.899999999994
100.2	62023.8
100.3	62085.7
100.4	62147.600000000006
100.5	62209.5
100.6	62271.399999999994
100.7	62333.3
100.8	62395.2
100.9	62457.100000000006
101.0	62519.0
101.1	62580.899999999994
101.2	62642.8
101.3	62704.7
101.4	62766.600000000006
101.5	62828.5
101.6	62890.399999999994
101.7	62952.3
101.8	63014.2
101.9	63076.100000000006
102.0	63138.0
102.1	63199.899999999994
102.2	63261.8
102.3	63323.7
102.4	63385.600000000006
102.5	63447.5
102.6	63509.399999999994
102.7	63571.3
102.8	63633.2
102.9	63695.100000000006
103.0	63757.0
103.1	63818.899999999994
103.2	63880.8
103.3	63942.7
103.4	64004.600000000006
103.5	64066.5
103.6	64128.399999999994
103.7	64190.3
103.8	64252.2
103.9	64314.100000000006
104.0	64376.0
104.1	64437.899999999994
104.2	64499.8
104.3	64561.7
104.4	64623.600000000006
104.5	64685.5
104.6	64747.399999999994
104.7	64809.3
104.8	64871.2
104.9	64933.100000000006
105.0	64995.0
105.1	65056.899999999994
105.2	65118.8
105.3	65180.7
105.4	65242.600000000006
105.5	65304.5
105.6	65366.399999999994
105.7	65428.3
105.8	65490.2
105.9	65552.1
106.0	65614.0
106.1	65675.9
106.2	65737.8
106.3	65799.7
106.4	65861.6
106.5	65923.5
106.6	65985.4
106.7	66047.3
106.8	66109.2
106.9	66171.1
107.0	66233.0
107.1	66294.9
107.2	66356.8
107.3	66418.7
107.4	66480.6
107.5	66542.5
107.6	66604.4
107.7	66666.3
107.8	66728.2
107.9	66790.1
108.0	66852.0
108.1	66913.9
108.2	66975.8
108.3	67037.7
108.4	67099.6
108.5	67161.5
108.6	67223.4
108.7	67285.3
108.8	67347.2
108.9	67409.1
109.0	67471.0
109.1	67532.9
109.2	67594.8
109.3	67656.7
109.4	67718.6
109.5	67780.5
109.6	67842.4
109.7	67904.3
109.8	67966.2
109.9	68028.1
110.0	68090.0
110.1	68151.9
110.2	68213.8
110.3	68275.7
110.4	68337.6
110.5	68399.5
110.6	68461.4
110.7	68523.3
110.8	68585.2
110.9	68647.1
111.0	68709.0
111.1	68770.9
111.2	68832.8
111.3	68894.7
111.4	68956.6
111.5	69018.5
111.6	69080.4
111.7	69142.3
111.8	69204.2
111.9	69266.1
112.0	69328.0
112.1	69389.9
112.2	69451.8
112.3	69513.7
112.4	69575.6
112.5	69637.5
112.6	69699.4
112.7	69761.3
112.8	69823.2
112.9	69885.1
113.0	69947.0
113.1	70008.9
113.2	70070.8
113.3	70132.7
113.4	70194.6
113.5	70256.5
113.6	70318.4
113.7	70380.3
113.8	70442.2
113.9	70504.1
114.0	70566.0
114.1	70627.9
114.2	70689.8
114.3	70751.7
114.4	70813.6
114.5	70875.5
114.6	70937.4
114.7	70999.3
114.8	71061.2
114.9	71123.1
115.0	71185.0
115.1	71246.9
115.2	71308.8
115.3	71370.7
115.4	71432.6
115.5	71494.5
115.6	71556.4
115.7	71618.3
