T [K]	C_p [J/m^3/K]
180.9	1308883.9248868234
181.0	1308938.8663251179
181.1	1308993.720062885
181.2	1309048.4862848637
181.3	1309103.1651753122
181.4	1309157.7569180103
181.5	1309212.2616962574
181.6	1309266.6796928772
181.7	1309321.0110902179
181.8	1309375.256070154
181.9	1309429.4148140885
182.0	1309483.4875029519
182.1	1309537.4743172058
182.2	1309591.375436845
182.3	1309645.191041396
182.4	1309698.9213099217
182.5	1309752.5664210198
182.6	1309806.1265528272
182.7	1309859.6018830186
182.8	1309912.9925888106
182.9	1309966.2988469605
183.0	1310019.5208337703
183.1	1310072.6587250852
183.2	1310125.7126962985
183.3	1310178.6829223488
183.4	1310231.5695777263
183.5	1310284.3728364687
183.6	1310337.0928721675
183.7	1310389.7298579665
183.8	1310442.2839665646
183.9	1310494.7553702143
184.0	1310547.144240728
184.1	1310599.4507494757
184.2	1310651.6750673861
184.3	1310703.8173649511
184.4	1310755.8778122235
184.5	1310807.85657882
184.6	1310859.753833924
184.7	1310911.5697462838
184.8	1310963.3044842163
184.9	1311014.9582156073
185.0	1311066.5311079132
185.1	1311118.0233281623
185.2	1311169.4350429557
185.3	1311220.7664184687
185.4	1311272.0176204524
185.5	1311323.188814235
185.6	1311374.280164723
185.7	1311425.2918364026
185.8	1311476.2239933396
185.9	1311527.0767991832
186.0	1311577.850417164
186.1	1311628.5450101
186.2	1311679.1607403927
186.3	1311729.6977700314
186.4	1311780.1562605938
186.5	1311830.5363732472
186.6	1311880.8382687494
186.7	1311931.0621074503
186.8	1311981.2080492931
186.9	1312031.2762538162
187.0	1312081.2668801518
187.1	1312131.1800870306
187.2	1312181.016032782
187.3	1312230.7748753321
187.4	1312280.4567722108
187.5	1312330.0618805466
187.6	1312379.5903570733
187.7	1312429.0423581274
187.8	1312478.418039652
187.9	1312527.7175571958
188.0	1312576.9410659147
188.1	1312626.0887205747
188.2	1312675.1606755508
188.3	1312724.1570848299
188.4	1312773.0781020105
188.5	1312821.9238803056
188.6	1312870.6945725419
188.7	1312919.390331162
188.8	1312968.0113082263
188.9	1313016.557655412
189.0	1313065.029524017
189.1	1313113.4270649585
189.2	1313161.7504287756
189.3	1313209.9997656294
189.4	1313258.1752253068
189.5	1313306.2769572164
189.6	1313354.305110396
189.7	1313402.2598335082
189.8	1313450.141274844
189.9	1313497.9495823253
190.0	1313545.6849035032
190.1	1313593.34738556
190.2	1313640.9371753123
190.3	1313688.4544192078
190.4	1313735.8992633314
190.5	1313783.2718534027
190.6	1313830.572334778
190.7	1313877.8008524524
190.8	1313924.9575510598
190.9	1313972.0425748734
191.0	1314019.0560678092
191.1	1314065.9981734243
191.2	1314112.8690349194
191.3	1314159.66879514
191.4	1314206.3975965763
191.5	1314253.055581365
191.6	1314299.6428912915
191.7	1314346.1596677883
191.8	1314392.606051939
191.9	1314438.9821844755
192.0	1314485.288205784
192.1	1314531.5242559016
192.2	1314577.6904745195
192.3	1314623.7870009847
192.4	1314669.813974298
192.5	1314715.7715331179
192.6	1314761.6598157613
192.7	1314807.478960203
192.8	1314853.2291040774
192.9	1314898.910384681
193.0	1314944.5229389695
193.1	1314990.0669035641
193.2	1315035.542414748
193.3	1315080.9496084696
193.4	1315126.2886203437
193.5	1315171.55958565
193.6	1315216.7626393368
193.7	1315261.8979160215
193.8	1315306.965549991
193.9	1315351.9656752017
194.0	1315396.8984252822
194.1	1315441.7639335336
194.2	1315486.56233293
194.3	1315531.2937561204
194.4	1315575.9583354294
194.5	1315620.5562028561
194.6	1315665.0874900785
194.7	1315709.552328453
194.8	1315753.9508490122
194.9	1315798.2831824725
195.0	1315842.549459229
195.1	1315886.7498093585
195.2	1315930.8843626217
195.3	1315974.9532484626
195.4	1316018.9565960094
195.5	1316062.8945340759
195.6	1316106.767191162
195.7	1316150.5746954565
195.8	1316194.3171748344
195.9	1316237.9947568616
196.0	1316281.6075687928
196.1	1316325.1557375737
196.2	1316368.6393898425
196.3	1316412.0586519302
196.4	1316455.4136498605
196.5	1316498.7045093523
196.6	1316541.9313558189
196.7	1316585.0943143715
196.8	1316628.1935098171
196.9	1316671.2290666606
197.0	1316714.2011091074
197.1	1316757.10976106
197.2	1316799.955146124
197.3	1316842.7373876045
197.4	1316885.4566085108
197.5	1316928.1129315533
197.6	1316970.7064791482
197.7	1317013.2373734151
197.8	1317055.7057361805
197.9	1317098.1116889764
198.0	1317140.455353043
198.1	1317182.7368493283
198.2	1317224.9562984896
198.3	1317267.113820894
198.4	1317309.2095366195
198.5	1317351.2435654546
198.6	1317393.2160269017
198.7	1317435.1270401753
198.8	1317476.9767242041
198.9	1317518.7651976328
199.0	1317560.49257882
199.1	1317602.1589858409
199.2	1317643.7645364893
199.3	1317685.3093482764
199.4	1317726.7935384316
199.5	1317768.2172239043
199.6	1317809.580521366
199.7	1317850.8835472066
199.8	1317892.12641754
199.9	1317933.3092482022
200.0	1317974.4321547528
200.1	1318015.495252477
200.2	1318056.4986563828
200.3	1318097.4424812063
200.4	1318138.3268414096
200.5	1318179.1518511823
200.6	1318219.9176244417
200.7	1318260.6242748357
200.8	1318301.271915741
200.9	1318341.8606602636
201.0	1318382.390621244
201.1	1318422.8619112512
201.2	1318463.2746425904
201.3	1318503.6289272981
201.4	1318543.924877146
201.5	1318584.162603641
201.6	1318624.3422180256
201.7	1318664.4638312787
201.8	1318704.5275541176
201.9	1318744.5334969962
202.0	1318784.481770108
202.1	1318824.3724833862
202.2	1318864.205746505
202.3	1318903.9816688772
202.4	1318943.7003596593
202.5	1318983.3619277503
202.6	1319022.9664817918
202.7	1319062.5141301693
202.8	1319102.0049810128
202.9	1319141.4391421983
203.0	1319180.8167213476
203.1	1319220.1378258287
203.2	1319259.402562758
203.3	1319298.611038999
203.4	1319337.763361165
203.5	1319376.8596356187
203.6	1319415.899968473
203.7	1319454.8844655915
203.8	1319493.81323259
203.9	1319532.6863748364
204.0	1319571.5039974512
204.1	1319610.2662053101
204.2	1319648.9731030413
204.3	1319687.62479503
204.4	1319726.2213854159
204.5	1319764.7629780953
204.6	1319803.2496767226
204.7	1319841.6815847086
204.8	1319880.0588052245
204.9	1319918.3814411983
205.0	1319956.6495953202
205.1	1319994.8633700395
205.2	1320033.0228675667
205.3	1320071.1281898753
205.4	1320109.1794386995
205.5	1320147.1767155384
205.6	1320185.1201216544
205.7	1320223.0097580731
205.8	1320260.8457255873
205.9	1320298.6281247535
206.0	1320336.357055897
206.1	1320374.032619108
206.2	1320411.654914245
206.3	1320449.2240409355
206.4	1320486.7400985756
206.5	1320524.2031863309
206.6	1320561.6134031375
206.7	1320598.9708477024
206.8	1320636.2756185026
206.9	1320673.5278137908
207.0	1320710.7275315893
207.1	1320747.8748696945
207.2	1320784.9699256779
207.3	1320822.0127968842
207.4	1320859.0035804345
207.5	1320895.9423732252
207.6	1320932.8292719298
207.7	1320969.6643729978
207.8	1321006.4477726582
207.9	1321043.179566916
208.0	1321079.859851558
208.1	1321116.4887221474
208.2	1321153.0662740297
208.3	1321189.5926023307
208.4	1321226.0678019575
208.5	1321262.4919675987
208.6	1321298.8651937263
208.7	1321335.187574595
208.8	1321371.459204243
208.9	1321407.6801764928
209.0	1321443.8505849529
209.1	1321479.9705230158
209.2	1321516.040083861
209.3	1321552.0593604543
209.4	1321588.028445549
209.5	1321623.947431686
209.6	1321659.8164111956
209.7	1321695.6354761948
209.8	1321731.4047185928
209.9	1321767.1242300866
210.0	1321802.7941021658
210.1	1321838.4144261105
210.2	1321873.9852929923
210.3	1321909.506793676
210.4	1321944.979018818
210.5	1321980.4020588698
210.6	1322015.7760040762
210.7	1322051.1009444771
210.8	1322086.3769699065
210.9	1322121.6041699953
211.0	1322156.7826341705
211.1	1322191.9124516554
211.2	1322226.9937114713
211.3	1322262.0265024372
211.4	1322297.0109131702
211.5	1322331.9470320882
211.6	1322366.8349474054
211.7	1322401.6747471397
211.8	1322436.4665191076
211.9	1322471.2103509267
212.0	1322505.9063300178
212.1	1322540.5545436025
212.2	1322575.1550787059
212.3	1322609.7080221565
212.4	1322644.2134605865
212.5	1322678.6714804322
212.6	1322713.0821679349
212.7	1322747.4456091423
212.8	1322781.7618899068
212.9	1322816.0310958878
213.0	1322850.2533125516
213.1	1322884.4286251732
213.2	1322918.5571188328
213.3	1322952.6388784223
213.4	1322986.673988641
213.5	1323020.6625339973
213.6	1323054.6045988111
213.7	1323088.5002672127
213.8	1323122.349623142
213.9	1323156.1527503522
214.0	1323189.909732408
214.1	1323223.6206526866
214.2	1323257.2855943781
214.3	1323290.9046404872
214.4	1323324.4778738306
214.5	1323358.0053770423
214.6	1323391.4872325703
214.7	1323424.9235226773
214.8	1323458.3143294426
214.9	1323491.659734763
215.0	1323524.9598203509
215.1	1323558.2146677373
215.2	1323591.4243582708
215.3	1323624.588973119
215.4	1323657.7085932677
215.5	1323690.7832995227
215.6	1323723.813172509
215.7	1323756.7982926741
215.8	1323789.738740284
215.9	1323822.634595427
216.0	1323855.485938013
216.1	1323888.2928477754
216.2	1323921.05540427
216.3	1323953.773686874
216.4	1323986.4477747907
216.5	1324019.0777470458
216.6	1324051.6636824918
216.7	1324084.205659804
216.8	1324116.7037574844
216.9	1324149.158053862
217.0	1324181.5686270904
217.1	1324213.9355551507
217.2	1324246.258915853
217.3	1324278.5387868334
217.4	1324310.7752455568
