T [K]	C_m [J/m^3/K]
88.8	1721.4524495677324
88.9	1721.4524495677324
89.0	1721.4524495677324
89.1	1721.4524495677324
89.2	1721.4524495677324
89.3	1721.4524495677324
89.4	1721.4524495677324
89.5	1721.4524495677324
89.6	1721.4524495677324
89.7	1721.4524495677324
89.8	1721.4524495677324
89.9	1721.4524495677324
90.0	1721.4524495677324
90.1	1721.4524495677324
90.2	1721.4524495677324
90.3	1721.4524495677324
90.4	1721.4524495677324
90.5	1721.4524495677324
90.6	1721.4524495677324
90.7	1721.4524495677324
90.8	1721.4524495677324
90.9	1721.4524495677324
91.0	1721.4524495677324
91.1	1721.4524495677324
91.2	1721.4524495677324
91.3	1721.4524495677324
91.4	1721.4524495677324
91.5	1721.4524495677324
91.6	1721.4524495677324
91.7	1721.4524495677324
91.8	1721.4524495677324
91.9	1721.4524495677324
92.0	1721.4524495677324
92.1	1721.4524495677324
92.2	1721.4524495677324
92.3	1721.4524495677324
92.4	1721.4524495677324
92.5	1721.4524495677324
92.6	1721.4524495677324
92.7	1721.4524495677324
92.8	1721.4524495677324
92.9	1721.4524495677324
93.0	1721.4524495677324
93.1	1721.4524495677324
93.2	1721.4524495677324
93.3	1721.4524495677324
93.4	1721.4524495677324
93.5	1721.4524495677324
93.6	1721.4524495677324
93.7	1721.4524495677324
93.8	1721.4524495677324
93.9	1721.4524495677324
94.0	1721.4524495677324
94.1	1721.4524495677324
94.2	1721.4524495677324
94.3	1721.4524495677324
94.4	1721.4524495677324
94.5	1721.4524495677324
94.6	1721.4524495677324
94.7	1721.4524495677324
94.8	1721.4524495677324
94.9	1721.4524495677324
95.0	1721.4524495677324
95.1	1721.4524495677324
95.2	1721.4524495677324
95.3	1721.4524495677324
95.4	1721.4524495677324
95.5	1721.4524495677324
95.6	1721.4524495677324
95.7	1721.4524495677324
95.8	1721.4524495677324
95.9	1721.4524495677324
96.0	1721.4524495677324
96.1	1721.4524495677324
96.2	1721.4524495677324
96.3	1721.4524495677324
96.4	1721.4524495677324
96.5	1721.4524495677324
96.6	1721.4524495677324
96.7	1721.4524495677324
96.8	1721.4524495677324
96.9	1721.4524495677324
97.0	1721.4524495677324
97.1	1721.4524495677324
97.2	1721.4524495677324
97.3	1721.4524495677324
97.4	1721.4524495677324
97.5	1721.4524495677324
