# Ab initio lattice heat capacity of optical phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
323	1472974.9762250546
324	1473580.688567435
325	1474181.2117757876
326	1474776.603753735
327	1475366.9216169543
328	1475952.2217065156
329	1476532.5596002361
330	1477107.9901258799
331	1477678.5673721994
332	1478244.3447005397
333	1478805.3747564442
334	1479361.7094815369
335	1479913.4001229396
336	1480460.4972456594
337	1481003.050742673
338	1481541.1098449226
339	1482074.723131914
340	1482603.9385424964
341	1483128.8033833029
342	1483649.3643399156
343	1484165.66748517
344	1484677.7582897474
345	1485185.6816307022
346	1485689.4818002526
347	1486189.202515556
348	1486684.8869267795
349	1487176.5776261494
350	1487664.3166555937
351	1488148.1455166042
352	1488628.1051765718
353	1489104.2360783075
354	1489576.5781469245
355	1490045.1707981217
356	1490510.0529458267
357	1490971.2630094702
358	1491428.8389213094
359	1491882.818133822
360	1492333.2376269957
361	1492780.13391508
362	1493223.5430534056
363	1493663.5006450256
364	1494100.0418481915
365	1494533.2013821416
366	1494963.013533265
367	1495389.5121624644
368	1495812.7307103304
369	1496232.7022040565
370	1496649.4592627662
371	1497063.0341039964
372	1497473.458549465
373	1497880.7640300666
374	1498284.9815925346
375	1498686.1419043122
376	1499084.2752591576
377	1499479.4115825421
378	1499871.5804367894
379	1500260.811026466
380	1500647.132203601
381	1501030.5724717563
382	1501411.1599926108
383	1501788.9225890362
384	1502163.8877511863
385	1502536.0826404963
386	1502905.5340948151
387	1503272.2686320343
388	1503636.3124561347
389	1503997.6914596972
390	1504356.4312298228
391	1504712.5570514668
392	1505066.093911753
393	1505417.0665049183
394	1505765.4992348915
395	1506111.4162207209
396	1506454.8412999206
397	1506795.7980317508
398	1507134.3097023047
399	1507470.3993271438
400	1507804.089655613
401	1508135.403174418
402	1508464.3621106201
403	1508790.9884360067
404	1509115.303870155
405	1509437.3298837517
406	1509757.0877018142
407	1510074.5983079304
408	1510389.8824459268
409	1510702.960625
410	1511013.8531207484
411	1511322.579980532
412	1511629.1610243733
413	1511933.6158499313
414	1512235.9638337607
415	1512536.224135334
416	1512834.4156998268
417	1513130.5572601142
418	1513424.667340987
419	1513716.7642604425
420	1514006.8661332475
421	1514294.9908735987
422	1514581.1561974022
423	1514865.379624793
424	1515147.678483455
425	1515428.069909838
426	1515706.570853196
427	1515983.1980767418
428	1516257.9681604477
429	1516530.8975038864
430	1516802.0023276657
431	1517071.2986768577
432	1517338.8024216404
433	1517604.5292616491
434	1517868.4947260492
435	1518130.7141775705
436	1518391.2028128486
437	1518649.975666218
438	1518907.0476103849
439	1519162.433359362
440	1519416.1474701322
441	1519668.2043450377
442	1519918.6182328823
443	1520167.4032309856
444	1520414.573288992
445	1520660.1422074575
446	1520904.1236426355
447	1521146.5311060678
448	1521387.3779682205
449	1521626.6774596553
450	1521864.4426714038
451	1522100.6865587514
452	1522335.4219412387
453	1522568.6615063015
454	1522800.4178081965
455	1523030.7032722314
456	1523259.530194876
457	1523486.910745122
458	1523712.8569676783
459	1523937.3807828082
460	1524160.4939884823
461	1524382.2082618675
462	1524602.5351609942
463	1524821.4861253137
464	1525039.0724791582
465	1525255.3054300565
466	1525470.1960734506
467	1525683.7553907228
468	1525895.994253805
469	1526106.9234250889
470	1526316.5535564409
471	1526524.895195479
472	1526731.958781805
473	1526937.7546522976
474	1527142.2930386188
475	1527345.5840727736
476	1527547.6377836308
477	1527748.4641016577
478	1527948.0728587243
479	1528146.4737887117
480	1528343.6765303994
481	1528539.6906268932
482	1528734.5255264142
483	1528928.1905867443
484	1529120.695071589
485	1529312.0481550412
486	1529502.2589212225
487	1529691.336365899
488	1529879.289396928
489	1530066.1268364836
490	1530251.8574193693
491	1530436.4897975568
492	1530620.032538949
493	1530802.4941282396
494	1530983.8829688146
495	1531164.2073836145
496	1531343.47561472
497	1531521.6958266008
498	1531698.8761041756
499	1531875.0244568146
500	1532050.1488164905
501	1532224.2570400028
502	1532397.3569096425
503	1532569.4561338
504	1532740.562348959
505	1532910.6831172174
506	1533079.8259319947
507	1533247.9982149098
508	1533415.2073177702
509	1533581.4605241534
510	1533746.7650487057
511	1533911.128039474
512	1534074.5565767577
513	1534237.057676482
514	1534398.6382883494
515	1534559.3052974714
516	1534719.065526254
517	1534877.9257327085
518	1535035.8926132354
519	1535192.9728028725
